ip	class	tld	entropy	len	norm_entropy	vowel_ratio	digit_ratio	repeat_letter	consec_digit	consec_consonant	gib_value	hmm_log	uni_rank	bi_rank	tri_rank	uni_std	bi_std	tri_std	private_tld
google.com.	0	com	1.560	8.0	0.195	0.38	0.00	0.25	0.00	0.25	1.00	-15.11	8.00	104.00	510.50	6.16	82.62	349.35	0
facebook.com.	0	com	2.025	10.0	0.203	0.40	0.00	0.10	0.00	0.00	1.00	-20.13	9.00	119.00	694.25	7.28	43.49	650.26	0
youtube.com.	0	com	1.889	9.0	0.210	0.44	0.00	0.11	0.00	0.00	1.00	-13.74	10.14	132.50	259.00	6.13	66.81	187.79	0
yahoo.com.	0	com	1.550	7.0	0.221	0.43	0.00	0.14	0.00	0.00	0.00	-18.12	8.80	154.50	1808.80	7.55	98.98	1444.87	0
baidu.com.	0	com	1.748	7.0	0.250	0.43	0.00	0.00	0.00	0.00	1.00	-17.81	9.20	130.83	1763.40	5.19	71.11	1047.71	0
wikipedia.org.	0	org	1.972	11.0	0.179	0.45	0.00	0.09	0.00	0.00	1.00	-28.07	8.89	124.00	1243.78	7.05	73.23	1472.05	0
qq.com.	0	com	0.693	4.0	0.173	0.00	0.00	0.25	0.00	0.50	0.00	-9.94	30.00	503.33	5188.00	0.00	167.85	1831.00	0
linkedin.com.	0	com	1.887	10.0	0.189	0.30	0.00	0.20	0.00	0.20	1.00	-22.13	8.00	63.11	546.38	4.97	54.94	706.10	0
taobao.com.	0	com	1.560	8.0	0.195	0.50	0.00	0.25	0.00	0.00	0.00	-20.18	5.33	129.71	1614.00	4.64	103.35	1150.88	0
twitter.com.	0	com	1.677	9.0	0.186	0.22	0.00	0.11	0.00	0.44	1.00	-18.64	7.57	103.38	809.43	5.85	107.55	571.45	0
live.com.	0	com	1.561	6.0	0.260	0.33	0.00	0.00	0.00	0.00	1.00	-10.18	9.00	68.20	163.00	8.03	58.25	114.98	0
amazon.com.	0	com	1.733	8.0	0.217	0.38	0.00	0.12	0.00	0.00	1.00	-17.47	8.50	101.43	946.17	8.10	118.15	846.31	0
sina.com.cn.	0	com.cn	1.561	6.0	0.260	0.33	0.00	0.00	0.00	0.00	1.00	-19.81	4.75	32.80	219.75	2.17	27.73	57.29	0
google.co.in.	0	co.in	1.560	8.0	0.195	0.38	0.00	0.25	0.00	0.25	1.00	-24.15	8.00	104.00	510.50	6.16	82.62	349.35	0
hao123.com.	0	com	1.906	8.0	0.238	0.25	0.38	0.00	0.38	0.00	0.00	-15.87	18.00	352.29	2826.67	11.78	204.50	2377.37	0
